ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,54019.37,Court Improvement Prog. FFY10,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,423401.82,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,616497,Expedite Process DNA Samples (,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1135249.17,ARRA-CDBG,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,16800.37,Enhanced 911 Telecomm Fund,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Penalties-Corporations,Rents  Fines  and Escheats,1554544.53,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1255806.41,Bld Permit Applicatn-Ed Fees,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,98896.46,CT SNORA Project,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid - Miscellaneous,Federal Grants,1400,FEP Agency Title VII & ADEA,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,57817,National Animal Identification,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,-301009.93,CCSU Proj Financed from CHEFA,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1286113.38,Family Violence,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Auxiliary Services Revenues,Sales of Commodities and Services,181734.76,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,10246.73,DWSRF Construction Subsidy,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,76700,Grnt ST Agncy Wtr Plltn Cntrl,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,790131.17,Mass Transit Security Canine T,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,968519.42,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,172199.88,Residential Sub Abuse Treat,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,143128,Teachr Principal Train Recruit,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1500,Art At The Capitol,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,IV-E Subsidized Guardian - DCF,Federal Grants,633158,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,10000,FOLLOW Project - Data Phase,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rail Station Revenue,Sales of Commodities and Services,5719308.75,Rail Station Operations,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,27885.92,CoC Torrington TRA:Cons,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,41945,Public Health Counter-Terroris,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Investment Interest,Investment Income,16253.81,Early Retiree Recoveries - ERR,Fiduciary,Agency
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1890943.15,ARRA Habitat Conservation,Special Revenue,Special Revenue
Revenue,2017,Other Source,Premium On Bonds Issued,Sale of Bonds,72094231.4,Conversion Value,Enterprise,Enterprise
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,66225.43,Site Remed Asb Remv Nrwch Hosp,Capital Projects,Capital Projects
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,382643.74,Equipment Food Distribution,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,233563.04,Prevention& Public Health Fund,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Recoveries-WC-Fringe Benefit,Miscellaneous,7543784.538,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,237648.42,Superfund Core Grant,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1149813.21,DHS Homeland Security Grants,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,93000,PD Social Workers CT DV Docket,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,9000,Miscellaneous Private Funding,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,266292.23,Plant Science Mcintire Stennis,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,ARRA Revenue,Federal Grants,689843.72,ARRA- DWF Construction,Enterprise,Enterprise
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1147.21,Private Donations,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,41350.4,CoC Bridgeport PRA:CrsntBldg,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,5395070.43,English Language Acquisition,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,137536.35,CT SNORA Project,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,7000000,CDBG-DR-Infrastructure-Sandy,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Broker/Dealer Agent Fees,Licenses Permits and Fees,200,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6650,CARE GIVER CONFERENCE,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,205000,Special Ed Preschool - 619,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,288800,DOL Employment Success,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,14456.49,Motor Fuel Tax Enforcement,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,119926.84,SPC BOS-Chrys Ctr TRA:HEARRT34,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3900257.88,Vaccination Assistance,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,52077,CoC CT Mntl Hlth Ctr MHN:Yale,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,50000,Cashcall/Westernsky Settlement,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,66298.41,Volunteer Fire Assistance,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,179492,Youth Employment Opp. - State,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Recoveries-General,Miscellaneous,60658.88,Siting Council,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2802195.35,CAPI GO BONDS 2012 A SIFMA,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,314134.54,DNA Testing Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,47620.02,SORNA JAG,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,183.38,Rec & Ntrl Hert Stewrdshp Acct,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,2413373.55,Small Bus Express Asst Account,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1100,Mashamoquet MU-MRI,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,271298.66,ARRA Education Technology,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,71200,Cooperative Pest Action Progrm,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3323841.73,SSBG Home Based Services,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,15211460.72,CT Lott Corp Payrl & Tele Acct,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-0.26,Transit Planning and Research,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,36661,CT Block Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,454364.19,DOT-FTA New Freedom Initiative,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Investment Interest,Investment Income,603.31,CTDLC Operations,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,909979.14,DCF Inten Suptv Housng Childrn,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Grant Transfer Non-Fed-Restr,Non General Fund Revenue,1500,Research In Plant Science,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,514029.18,SPC Danbury TRA:Cons.,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,6500,Research In Plant Science,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3135,Agency Support,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1150000,Newborn Screening Receipts,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Subscriptions-Maps/Bulletins,Sales of Commodities and Services,735,Revenue Deposits,General,General
Revenue,2012,Taxes,Unified Gift & Estate Tax,Inheritance and Estate,616.65,Retiree Med. Empl. Share,Fiduciary,Pension (& Other) Trust
Revenue,2014,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,24064.65,Organ Transplants,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,22200,eesmarts,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,3762.93,Drug Asset Forfeit Revlvng MIL,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Casual Sales - All Agencies,Sales of Commodities and Services,275065.21,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,223128.87,Lead & Healthy Homes Project,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Probate Micellaneous Revenue,Miscellaneous,7511405.81,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,6.52,Charles Precourt Memorial Fund,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,243399.07,STARBASE - Waterbury,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,600000,Trauma Foc Cogn Behavl Therapy,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,225,Sandy Hook Workers Assistance,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,3186.77,Help America Vote Act,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,356671.5,Assets Forfeiture Fund,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-9451,Conservation Reserve Program,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1008081.12,Consolidated Forestry Programs,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1250306,Lead Hazard Reduction Grant,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,272474.26,Independent Living Part A,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3384917.6,Gear Up,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,925191.63,Law Enforcement Response SHES,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Principal on Loans,Investment Income,2125650.14,Energy Conservation Loans,Special Revenue,Special Revenue
Revenue,2013,Taxes,Other Tax Refunds,Refunds of Taxes,-76676147.08,Refunds Of Taxes,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,9346.12,CoC Waterbury TRA:SHP#2,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,7521.42,Vineyard Disease Forecasting,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1218646.4,Applicnt Fingerprt Card Sbmssn,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1277196.44,Inland Fisheries,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,102489,Occup Disease Surveillnce Prog,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,45063.68,CoC Middletown PRA:Lbrty Pl,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,30000,Osborne library roof replaceme,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,RF-Fed Donated Foods-Other,Sales of Commodities and Services,-288289.03,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,941360.43,Priv Occup Sch Stud Prtct Acct,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,47734,Mig. Bird Conservation Acct,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,366688.35,CMHC Wellness Center,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,402118.84,Boating Access Areas,Special Revenue,Special Revenue
Revenue,2012,Taxes,Pers Inc Tax-Estimatd Payments,Personal Income,1419654033,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,921229.25,Help America Vote Act,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,RF-Office Support - Print Shop,Sales of Commodities and Services,541857.53,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2015,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,4260,Larkin Bridle Trail,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1100,Putnam MU-MRI,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,994114.98,Marine Fisheries,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,17165997.32,Drinking Water Revenue Bonds,Enterprise,Enterprise
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,11935644.95,HIV Care Formula Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,608947,National Endowment for the Art,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,IV-E and Non IV-E Programs,Sales of Commodities and Services,4925423.46,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Investment Interest,Investment Income,6.05,JAG Supplemental Grant,Special Revenue,Special Revenue
Revenue,2013,Other Source,Misc-Transfers In,Transfers In,3500000,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2012,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,100000,John R. Justice,Special Revenue,Special Revenue
Revenue,2013,Other Source,Misc-Transfers In,Transfers In,356149.68,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Cig Dealer-Vending Licenses,Licenses Permits and Fees,50,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,147500,CT Energy Advisory Board,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,9658,SLEAP Scholarship Program,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,743097,Aviation & Ports - DHS\TSA,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Investment Interest,Investment Income,1579.81,Second Injury,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,260664.77,Sexual Assault Services,Special Revenue,Special Revenue
Revenue,2014,Taxes,Capital Gains-Dividend-Inttax,Personal Income,286.03,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,61415.36,DCF Statewide Headstart Partn,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,13906222.22,Hwy. Planning & Constr. SPR,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2026.46,EBA Monitoring/New England,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Admissions-Parks/Attractions,Sales of Commodities and Services,13415.5,Museum Enhancement Fund,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,559444.88,NCHIP,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,896004.89,ARRA-DWD CONSTRUCTION,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,IV-E Adoption Assistance - DCF,Federal Grants,35334652,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1335010.76,Fire Sch Train & Ed Extension,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,14574.8,ARRA State Independent Living,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-602292.37,Preparednss & Resp-Bioterrorsm,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,98472.86,Adsorption of Ionic & Ionogeni,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,131782.09,Distracted Driving Enforcement,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-2334.46,Birth to Three screening,Special Revenue,Special Revenue
Revenue,2012,Taxes,Business Entity Tax,Corporations,42182073.99,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,26187.82,Crime Victim CompensationFFY08,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1449074.76,Violence Against Women 2003,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1536228.5,Comm Challenge Planning Grant,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,912972.58,Alcohol Traffic Safety Grants,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,19250,Teacher Education & Mentoring,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Other Interest,Investment Income,144571.3,Conversion Value,Transportation,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1996889.8,ConneCT,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Administration- Child Support,Federal Grants,35625698,Revenue Deposits,General,General
Revenue,2014,Other Source,Operating Transfers In,Transfers In,15000000,TSB Projects Account,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,200000,Youth Employment Opp. - State,Special Revenue,Special Revenue
Revenue,2013,Taxes,Oyster Grounds Tax,Miscellaneous,66106.78,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,32993.21,Japanese Barberry Control,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Expenses Recovered-Hospitals,Miscellaneous,2598177.4,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,175000,Childrens Oral Hlth Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,48378.88,SPC Hartford TRA:HEARRT20,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,34245,Microfiche Scanning,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,6000,Agency sponsored seminars,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Clinical Revenues,Sales of Commodities and Services,619.81,Public Bus Transport Revenue A,Enterprise,Enterprise
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,21479.68,Trauma EMS,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid - Miscellaneous,Federal Grants,61500,Fair Housing Assistance,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Investment Interest,Investment Income,19194.06,PFM Administration Expenses,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,83763.61,Prev Hlth Hlth Srvcs Blck Grnt,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Health Insurance Contributions,Miscellaneous,224476135.1,Retiree Pharmacy,Fiduciary,Pension (& Other) Trust
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,115810.29,BULLET PROOF VEST PARTNERSHIP,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,1193744.11,Var Agency Adm Proj Var Loc,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,45484.31,Court Improvement Prog FFY13,Special Revenue,Special Revenue
Revenue,2012,Taxes,Franchise Tax,Corporations,6542.9,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,978734.85,Historic Document Preservation,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,HUSKY Program,Federal Grants,44601064,Revenue Deposits,General,General
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1477448.75,Port Security Grant Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,IV-E Adoption Assistance - DCF,Federal Grants,39514989,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-35062.7,Youth Disabilities HS/HT Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,304763,DOL Employment Success,Special Revenue,Special Revenue
Revenue,2012,Taxes,Motor Carrier Tax-General,Motor Fuels,160,Revenue Deposits,Transportation,Special Revenue
Revenue,2015,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,100000,Cross Sound Cable Project,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,21980.02,National Organic Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Exp Recovered-Public Srvc Co,Miscellaneous,614464.77,Telecommunications Program,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Sale of Property,Miscellaneous,4309.38,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,8000,Ornamental Horticult Protocol,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,91920.85,Crime Victim Compensation FFY1,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1841768,FR-Adult Care Facility,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6385.87,Prev & Health Srvc Block Grant,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,67077342,HUD Sect. 8 Housing Vouchers,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,144282,NAEP,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Administration,Federal Grants,2695.17,Hurricane Sandy - NEG,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1167104.64,Heat & Cooling Revolving Fund,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,407338.22,Behavioral Risk Factor Surveil,Special Revenue,Special Revenue
Revenue,2014,Taxes,Taxes On Adm  Dues & Cabarets,Admissions  Dues  and Cabaret,39929615.52,Revenue Deposits,General,General
Revenue,2015,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,11222.91,CT Statistical Analysis Center,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,2678.69,Law Library Donat Copier Recpt,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,63174,Flexible Spending Acct Admin.,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,96244.65,ARRA-ICAC-TF Forensic,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,543989.03,Healthy Start Initiative-Elimi,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2415673.53,Readiness Centers,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,17526499,CIF GO BONDS 2015 A,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1234.67,Vision Partnership,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,50000,STOPS,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1159765,HUD Emergency Solutions,Special Revenue,Special Revenue
Revenue,2015,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,300000,BCAE Web Bsd Adult Diploma Prg,Special Revenue,Special Revenue
